ID,Story,Question,Label
8829,C is to the right of G. B is there and D is at the 2 position of a clock face. S is placed at the lower right of A. B is on the right side and below G. D is diagonally to the upper right of S. K is on the same vertical plane directly below A.,What is the relation of the agent B to the agent S?,overlap
8830,"F is at a 45 degree angle to S, in the lower righthand corner. Y is sitting in the left direction of S. G is to the right and above E at an angle of about 45 degrees. Y and D are horizontal and Y is to the right of D. The object E is positioned above and to the left of object F. I is at the 3 o'clock position relative to G.",What is the relation of the agent Y to the agent I?,upper-left
8831,D is diagonally to the upper left of L. C and Y are vertical and C is below Y. T is positioned above D and to the left. Q is slightly off center to the top left and T is slightly off center to the bottom right. J is positioned down and to the left of Q. Y is over there and J is on the left.,What is the relation of the agent D to the agent J?,lower-right
8832,O and D are next to each other with O on the top and D at the bottom. R is sitting in the left direction of C. W is above S with a small gap between them. S is diagonally to the bottom right of C. R and O are vertical and R is above O. F is sitting in the right direction of W.,What is the relation of the agent W to the agent C?,right
8833,"Q is to the left of N with a small gap between them. Object Z is above object W and to the left of it, too. N is below T with a small gap between them. If M is the center of a clock face, L is located between 7 and 8. T is on the right side and below L. The object W is positioned below and to the left of the object M.",What is the relation of the agent N to the agent L?,lower-right
8834,U is at N's 12 o'clock. E is at V's 12 o'clock. B is positioned in the top left corner of D. R is directly below E. D and V are next to each other with D on the left and V on the right. N is positioned right to B.,What is the relation of the agent R to the agent U?,lower-right
8835,W and I are in a horizontal line with I on the right. W is diagonally below M to the left at a 45 degree angle. R is placed in the left direction of M. S is lower right of V. H is below V at 4 o'clock. S is directly north west of I.,What is the relation of the agent M to the agent R?,right
8836,"N and I are side by side with N to the left and I to the right. N is at K's 3 o'clock. V is positioned in the lower right corner of Z. Object J is above object Z and to the right of it, too. O is diagonally to the bottom left of I. V is to the top of K vertically.",What is the relation of the agent Z to the agent N?,upper-left
8837,"If T is the center of a clock face, L is located between 10 and 11. F is over there with T above. B is south east of Y. S and L are both there with the object L below the object S. Y is over there with I above. S is to the left of I horizontally.",What is the relation of the agent Y to the agent T?,above
8838,I is diagonally above R to the left at a 45 degree angle. A is diagonally left and above A. The object W is positioned below and to the right of the object N. A is below E with a small gap between them. N is positioned down and to the left of O. The object R and W are there. The object R is below and slightly to the right of the object W.,What is the relation of the agent W to the agent A?,lower-right
